0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	2	10	15	14	12	8	7	16	3	13	6	11	5	4	9
0	3	2	16	10	6	15	13	14	5	12	11	8	9	7	4
0	4	9	2	5	15	10	11	3	7	8	16	14	13	6	12
0	5	3	14	2	11	16	12	10	9	6	8	15	4	13	7
0	6	12	4	13	2	9	14	7	11	10	3	5	8	16	15
0	7	4	3	9	16	2	8	5	13	15	14	10	12	11	6
0	8	11	13	6	5	7	2	12	15	3	9	4	16	10	14
0	9	5	10	3	8	14	6	2	4	11	15	16	7	12	13
0	10	14	8	16	13	11	4	15	2	7	12	6	3	9	5
0	11	6	7	12	3	4	10	13	8	2	5	9	15	14	16
0	12	13	9	7	10	5	16	4	6	14	2	3	11	15	8
0	13	7	5	4	14	3	15	9	12	16	10	2	6	8	11
0	14	16	11	15	7	6	9	8	10	4	13	12	2	5	3
0	15	8	12	11	9	13	3	6	16	5	4	7	14	2	10
0	16	15	6	8	4	12	5	11	14	9	7	13	10	3	2
