0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	2	19	29	10	24	15	13	23	5	26	17	8	16	7	14	12	25	3	30	31	27	9	6	18	11	22	32	4	20	21	28
0	3	2	30	19	12	29	25	10	9	24	6	15	31	13	27	23	22	5	32	26	18	17	11	8	21	16	28	7	4	14	20
0	4	20	2	28	29	19	21	32	13	15	22	10	18	11	24	30	14	7	3	8	12	25	16	23	31	27	5	6	17	26	9
0	5	3	32	2	23	30	22	19	17	12	11	29	26	25	18	10	16	9	28	24	8	6	21	15	14	31	20	13	7	27	4
0	6	17	4	9	2	20	26	5	21	19	27	28	23	31	29	3	24	11	7	10	30	14	18	32	8	12	13	16	22	15	25
0	7	4	3	20	30	2	14	28	25	29	16	19	8	21	12	32	27	13	5	15	23	22	31	10	26	18	9	11	6	24	17
0	8	18	31	27	11	16	2	14	29	6	32	22	9	19	7	21	3	15	26	17	13	30	28	25	20	5	24	10	23	4	12
0	9	5	28	3	10	32	16	2	6	23	21	30	24	22	8	19	31	17	20	12	15	11	14	29	27	26	4	25	13	18	7
0	10	23	8	12	31	18	4	24	2	16	5	27	25	20	11	26	7	19	15	22	21	3	9	14	17	13	29	28	32	6	30
0	11	6	7	17	3	4	24	9	14	2	18	20	10	26	30	5	12	21	13	19	32	27	8	28	15	23	25	31	16	29	22
0	12	24	27	26	22	14	28	31	10	25	2	21	7	32	17	16	20	23	18	13	6	19	3	11	5	4	8	30	29	9	15
0	13	7	5	4	32	3	27	20	22	30	31	2	15	14	23	28	18	25	9	29	10	16	26	19	24	8	17	21	11	12	6
0	14	21	25	11	9	13	23	6	18	5	15	7	2	12	28	17	10	27	22	3	20	8	29	4	30	19	16	24	26	32	31
0	15	8	26	18	21	31	3	27	30	11	28	16	17	2	13	14	5	29	24	6	25	32	20	22	4	9	12	19	10	7	23
0	16	22	6	25	4	17	15	13	26	20	12	9	32	8	2	7	29	31	11	28	3	24	23	5	10	30	21	18	27	19	14
0	17	9	20	5	19	28	31	3	11	10	14	32	12	16	15	2	26	6	4	23	29	21	27	30	18	24	7	22	25	8	13
0	18	27	16	14	6	22	19	21	15	17	30	25	5	10	4	11	2	8	31	9	7	29	32	13	28	3	26	23	12	20	24
0	19	10	15	23	26	8	7	12	3	31	9	18	22	4	21	24	13	2	29	16	14	5	17	27	6	25	30	20	28	11	32
0	20	28	19	32	15	10	11	30	7	8	25	23	27	6	26	29	21	4	2	18	24	13	22	12	16	14	3	17	9	31	5
0	21	11	13	6	5	7	12	17	27	3	8	4	19	24	32	9	23	14	25	2	28	18	15	20	29	10	22	26	31	30	16
0	22	25	17	13	20	9	8	7	31	28	24	5	30	18	19	4	15	16	6	32	2	26	12	3	23	29	11	27	14	10	21
0	23	12	18	24	16	27	20	26	19	22	3	14	13	28	6	31	4	10	8	25	11	2	5	21	9	7	15	32	30	17	29
0	24	26	14	31	25	21	32	16	23	13	19	11	4	30	9	22	28	12	27	7	17	10	2	6	3	20	18	29	15	5	8
0	25	13	9	7	28	5	18	4	16	32	26	3	29	27	10	20	8	22	17	30	19	31	24	2	12	15	6	14	21	23	11
0	26	31	21	16	13	11	30	22	12	7	10	6	20	29	5	25	32	24	14	4	9	23	19	17	2	28	27	15	8	3	18
0	27	14	22	21	17	25	10	11	8	9	29	13	3	23	20	6	19	18	16	5	4	15	30	7	32	2	31	12	24	28	26
0	28	32	10	30	8	23	6	29	4	18	13	12	14	17	31	15	11	20	19	27	26	7	25	24	22	21	2	9	5	16	3
0	29	15	24	8	14	26	5	18	32	21	20	31	6	3	25	27	9	30	12	11	22	28	4	16	7	17	23	2	19	13	10
0	30	29	12	15	27	24	9	8	28	14	4	26	11	5	22	18	17	32	23	21	16	20	7	31	13	6	10	3	2	25	19
0	31	16	11	22	7	6	29	25	24	4	23	17	28	15	3	13	30	26	21	20	5	12	10	9	19	32	14	8	18	2	27
0	32	30	23	29	18	12	17	15	20	27	7	24	21	9	16	8	6	28	10	14	31	4	13	26	25	11	19	5	3	22	2
